the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E6100000A08016E0B5CA52C07E4C523638034440,0101000020110F0000E7D0B5CD79EB5FC13AE5348777935241,378251,2018,201839089212.0,0111,2018-12-15,01:12:00,B,M,24,multi,N,N,N,4900 BLOCK Wayne Ave,0,2691684.66379289,262595.74408931,39,0,1,1,40.02515296,-75.16735079
0101000020E610000011BF075424CA52C09E12C605D6014440,0101000020110F000062BDC09382EA5FC17F8C05BBEE915241,378252,2018,201839089359.0,0111,2018-12-15,19:45:00,B,M,43,head,N,N,N,3900 BLOCK Pulaski St,0,2694287.00930998,258732.77707772,39,0,1,1,40.01434395,-75.1584673
0101000020E6100000583F4F66F0C952C019BB6D7408004440,0101000020110F00006FD2075F2AEA5FC1CABD8EF1EE8F5241,378253,2018,201839067886.0,0411,2018-09-24,15:52:00,B,M,38,mullti,N,N,N,1500 BLOCK W Clearfield St,0,2695325.14010772,253629.79417348,39,0,1,0,40.00025802,-75.15529783
0101000020E6100000C7114AE380CA52C0AEE542A3C3034440,0101000020110F0000C7EB88CC1FEB5FC1B53A2D2B12945241,378254,2018,201839089395.0,0411,2018-12-15,22:19:00,B,M,44,leg,N,N,N,5000 BLOCK Germantown Ave,0,2692544.62893647,264171.58083265,39,0,1,0,40.02940789,-75.16411669
0101000020E610000066768A1327CA52C046A055C183024440,0101000020110F00003F88BC3E87EA5FC162FA9664AF925241,378255,2018,201839068325.0,0411,2018-09-26,20:56:00,B,M,41,abdomen,N,N,N,2000 BLOCK Dennie St,0,2694183.38090831,260661.95661831,39,0,1,0,40.01964585,-75.15863503
0101000020E610000003957528D8C952C087AD1376D5024440,0101000020110F000012F8C43101EA5FC16ED2B8010A935241,378256,2018,201839069640.0,0411,2018-09-30,20:46:00,B,F,19,leg,N,N,N,1700 BLOCK W Wingohocking St,0,2695505.18239856,261609.50984131,39,0,1,0,40.02213932,-75.15381824
0101000020E610000089F85EAE0BCA52C0DA7D7D633E024440,0101000020110F0000546329B658EA5FC1CC3C697762925241,378257,2018,201839070125.0,0411,2018-10-02,17:06:00,B,M,18,multi,N,N,N,4200 BLOCK Wayne Ave,0,2694674.13025489,259904.88464165,39,0,1,0,40.01752895,-75.15696296
0101000020E610000089F85EAE0BCA52C0DA7D7D633E024440,0101000020110F0000546329B658EA5FC1CC3C697762925241,378258,2018,201839070132.0,0411,2018-10-02,17:06:00,B,M,20,leg,N,N,N,4200 BLOCK Wayne Ave,0,2694674.13025489,259904.88464165,39,0,1,0,40.01752895,-75.15696296
0101000020E6100000A6977BF5EFC952C0B0000937D7004440,0101000020110F00000107629F29EA5FC157C6BE2FD4905241,378259,2018,201839070154.0,0411,2018-10-02,18:50:00,B,M,62,multi,N,N,N,1600 BLOCK W Tioga St,0,2695265.14613321,255927.58288498,39,0,1,0,40.00656784,-75.15527093
0101000020E6100000E8B9C7CA56CA52C05A0AAB255B004440,0101000020110F00004EB48C4BD8EA5FC1DD590DA04A905241,378260,2018,201839072656.0,0407,2018-10-11,07:15:00,B,F,23,leg,N,N,N,1900 BLOCK W Allegheny Ave,0,2693548.08657523,254497.31868514,39,0,1,0,40.00278159,-75.16154737
0101000020E610000065360A41356554C0B44EA61B726B3C40,0101000020110F0000BBCA42A55F5261C14A0167B334314941,378261,2018,201839074079.0,0411,2018-10-16,02:49:00,B,M,26,arm,N,N,N,Fox and Roosevelt Blvd,0,711311.91490063,-3975202.88593952,39,0,1,0,28.4197099,-81.58137537
0101000020E6100000881FAD7BF5C952C005CEA5FAC6024440,0101000020110F00000B69880133EA5FC118ED09F2F9925241,378262,2018,201839075933.0,0411,2018-10-23,04:45:00,B,M,49,thigh,N,N,N,4400 BLOCK N Cleveland St,0,2695008.84448047,261433.85435273,39,0,1,0,40.02169736,-75.1556081
0101000020E6100000761FDB8DD9CA52C0C66350B7FD024440,0101000020110F00001A995568B6EB5FC1BD4EC5A636935241,378263,2018,201839076175.0,0111,2018-10-23,03:46:00,B,M,56,abdomen,N,N,N,300 BLOCK W Seymour St,0,2691094.05539405,261927.89470322,39,0,1,1,40.0233678,-75.16952845
0101000020E6100000BB96B11D23CA52C0F631B474E4004440,0101000020110F000054729D8480EA5FC130732FDEE2905241,378264,2018,201839091057.0,0411,2018-12-21,20:21:00,B,M,34,head/multi,N,N,N,1800 BLOCK TIOGA ST,0,2694386.52190623,256049.03900689,39,0,1,0,40.00697192,-75.15839331
0101000020E6100000609E215E0FCA52C04E886F1750FF4340,0101000020110F000025CC3BF95EEA5FC1C229058D228F5241,378265,2018,201839077536.0,0411,2018-10-29,16:44:00,B,M,27,back,N,N,N,2700 BLOCK N Sydenham St,0,2694855.99340822,251565.55814448,39,0,1,0,39.9946317,-75.15718797
0101000020E6100000A9266F1DEFCA52C0F42CEF475D004440,0101000020110F000099B7E407DBEB5FC11788B6FD4C905241,378266,2018,201839080279.0,0411,2018-11-08,22:40:00,B,M,30,head,N,N,N,3100 BLOCK N 25th St,0,2690943.95005122,254444.83945939,39,0,1,0,40.00284671,-75.17084442
0101000020E6100000DD346C4AE8C952C0CCADB59C70004440,0101000020110F00002884ED981CEA5FC1B976966C62905241,378267,2018,201839091076.0,0111,2018-12-21,23:38:00,W,M,35,shoulder,N,N,N,1500 BLOCK W WESTMORELAND ST,1,2695429.71502981,254791.28988197,39,0,1,1,40.00343665,-75.1548029
